step,avg_rent,avg_travel,share_low_income,gentr_dispersion,displacements,vacancy_rate,aff_units,mkt_units,total_units
27,288.6648559989107,16.112856094059445,0.433499999891625,0.36914453125,806,0.3948562783661119,3783,2827,6610
28,286.77337324699,16.102784226925774,0.4337499998915625,0.3907363067292645,699,0.3948562783661119,3783,2827,6610
29,286.4829467959789,16.09816043814432,0.4322499998919375,0.4107945312499999,625,0.3948562783661119,3783,2827,6610
30,286.73017167885615,16.212414493330154,0.43174999989206253,0.41972515527950316,607,0.3948562783661119,3783,2827,6610
31,286.384918140865,16.210622338819494,0.431499999892125,0.4247306501547987,551,0.3948562783661119,3783,2827,6610
32,287.7272141987323,16.06377019882021,0.4312499998921875,0.3801421947449769,715,0.3948562783661119,3783,2827,6610
33,286.96673959852046,16.023984784863003,0.4302499998924375,0.36090476190476195,853,0.3948562783661119,3783,2827,6610
34,285.24439293889264,16.051569728576936,0.42874999989281254,0.3558558282208589,783,0.3948562783661119,3783,2827,6610
35,282.2304228642427,16.101133918144335,0.428499999892875,0.39589477726574485,543,0.3948562783661119,3783,2827,6610
36,282.2102127810391,16.076533655665173,0.4282499998929375,0.38824617737003064,590,0.3948562783661119,3783,2827,6610
37,281.88279926945427,16.26042111375338,0.4272499998931875,0.3979534351145039,562,0.3948562783661119,3783,2827,6610
38,281.2893763839987,16.249829884714902,0.42699999989325,0.40304027355623107,533,0.3948562783661119,3783,2827,6610
39,281.07118159683364,16.25679662890711,0.426499999893375,0.4112705167173252,441,0.3948562783661119,3783,2827,6610
40,280.8337631892688,16.258566009300885,0.42624999989343754,0.40996084337349403,423,0.3948562783661119,3783,2827,6610
41,281.1749858407135,16.35904910474974,0.42624999989343754,0.3993097744360904,427,0.3948562783661119,3783,2827,6610
42,282.79510711342505,16.285473039887208,0.425499999893625,0.39875639097744364,535,0.3948562783661119,3783,2827,6610
43,282.59856231924397,16.23953102131576,0.42499999989375004,0.41043338323353296,420,0.3948562783661119,3783,2827,6610
44,283.7265492346424,16.2119802191755,0.423999999894,0.40896935724962624,451,0.3948562783661119,3783,2827,6610
45,285.56472138717,16.029328904237893,0.42374999989406253,0.38726905829596414,608,0.3948562783661119,3783,2827,6610
46,285.3043875459999,15.984533338288303,0.4232499998941875,0.39928880597014926,611,0.3948562783661119,3783,2827,6610
47,286.4024023937533,15.917400174236024,0.4227499998943125,0.3683601190476191,764,0.3948562783661119,3783,2827,6610
48,283.5633739527391,15.949576254500645,0.42299999989425,0.3844362962962963,550,0.3948562783661119,3783,2827,6610
49,282.2183248307865,16.065628617969203,0.4232499998941875,0.39422922848664677,568,0.3948562783661119,3783,2827,6610
50,282.43695415297566,15.968373297464895,0.42374999989406253,0.3660036982248521,635,0.3948562783661119,3783,2827,6610
51,279.7571103205736,16.074971504454478,0.423999999894,0.38722378138847857,487,0.3948562783661119,3783,2827,6610
52,280.1133593987038,16.0201870526827,0.42249999989437503,0.38444690265486725,398,0.3948562783661119,3783,2827,6610
53,279.84838779031537,16.089567471408028,0.421499999894625,0.3708775659824046,450,0.3948562783661119,3783,2827,6610
54,279.92295460270077,16.083570578199943,0.4207499998948125,0.3762584187408492,434,0.3948562783661119,3783,2827,6610
55,280.00363748500064,16.183440500832145,0.420499999894875,0.3912142857142856,378,0.3948562783661119,3783,2827,6610
